20,ChatGPT,"<![Image](https://images.openai.com/static-rsc-3/KogoudOIcxB7tkw2AbVF8wd6RJw6QNaLq_u-edksIDZGvpvSqWDXrxxjfB5R78XXq6x7WtsfWc6MzZ6H1PUVNWlGkPQkwAT4CrCk0ir7_PQ?purpose=fullsize\&v=1)

![Image](https://upload.wikimedia.org/wikipedia/commons/thumb/7/7e/George_Orwell_press_photo.jpg/960px-George_Orwell_press_photo.jpg)

![Image](https://i.guim.co.uk/img/media/cf8d33366cae29582f32e8ded3b03682682bfd02/0_0_2724_1972/master/2724.jpg?crop=none\&dpr=1\&s=none\&width=445)

![Image](https://lessonplans.dwrl.utexas.edu/sites/default/files/Orwell.jpg)

***George Orwell*** wrote the novel ***Nineteen Eighty-Four***, commonly written as **1984**.

### Quick facts 📚

* **Published:** 1949
* **Genre:** Dystopian fiction / political satire
* **Author’s real name:** Eric Arthur Blair
* **Famous concepts from the book:**

  * **Big Brother** 👁️
  * **Thought Police**
  * **Newspeak**
  * **“War is Peace. Freedom is Slavery. Ignorance is Strength.”**

### What the book is about

The story follows **Winston Smith**, a man living in a totalitarian state called **Oceania** where the government, led by **Big Brother**, constantly surveils and controls citizens.

The novel explores themes like:

* Government surveillance
* Propaganda and manipulation of truth
* Loss of individual freedom
* Psychological control

### Why it’s famous

Many terms from the book are still used today. For example, **“Orwellian”** describes situations involving extreme surveillance or government control.

---

If you'd like, I can also explain:

* The **real historical inspiration behind *1984***
* The **3 predictions from the book that people think came true** 👀
* Or a **2-minute summary of the entire plot**.
>",SUPPORTED,,"Correct common knowledge."

prompt_id,model_name,model_response,label,issues,notes
14,ChatGPT,"<The difference between **affect** and **effect** mainly comes down to **verb vs. noun**.

## 1️⃣ Affect (usually a verb)

**Affect** means **to influence or change something**.

**Structure:**
**A affects B**

**Examples:**

* Lack of sleep **affects** your concentration.
* Social media **affects** how people communicate.
* Weather can **affect** travel plans.

👉 Think: **Affect = Action**

---

## 2️⃣ Effect (usually a noun)

**Effect** means **a result or outcome**.

**Structure:**
**A has an effect on B**

**Examples:**

* Lack of sleep has a negative **effect** on your concentration.
* The new policy had a positive **effect** on productivity.
* Exercise has many health **effects**.

👉 Think: **Effect = End result**

---

## 3️⃣ Quick memory trick

A simple way many people remember:

**A**ffect = **A**ction (verb)
**E**ffect = **E**nd result (noun)

---

## 4️⃣ Rare exceptions (advanced)

These appear mostly in academic writing:

* **Effect (verb)** = *to cause something to happen*

  * “The new CEO **effected** major changes in the company.”

* **Affect (noun)** = *a psychological term meaning emotional expression*

  * “The patient showed a flat **affect**.”

Most people **never need these in normal writing**.

---

✅ **Simple rule for 95% of cases:**

* **Affect = influence (verb)**
* **Effect = result (noun)**

---

If you'd like, I can also show you a **5-second test that guarantees you pick the right one every time**. It’s a trick editors use. ✏️
>",SUPPORTED,,"Correct general knowledge."

prompt_id,model_name,model_response,label,issues,notes
8,ChatGPT,"<An **ETF (Exchange-Traded Fund)** is basically a **basket of investments you can buy and sell like a stock.**

Think of it like this:

### 🧺 Simple Analogy

Imagine you go to the grocery store and instead of buying **one apple**, you buy a **fruit basket** that contains:

* Apples
* Bananas
* Oranges
* Grapes

You now own **a little bit of each fruit** instead of just one.

An **ETF works the same way with investments.**

Instead of buying **one company’s stock**, you buy a **basket of many companies at once**.

---

### 📈 Example

If you buy an ETF that tracks the **S&P 500**, you are essentially investing in **500 large U.S. companies at the same time**, such as:

* Apple
* Microsoft
* Amazon
* NVIDIA

You don’t have to buy each stock individually.

---

### 🔑 Key Features of ETFs

**1. Diversification**
You own many assets at once, which spreads risk.

**2. Trades like a stock**
You can buy or sell it anytime during the market day on an exchange.

**3. Usually low fees**
Most ETFs are inexpensive compared to actively managed funds.

**4. Tracks something**
Most ETFs follow an index, sector, or theme (like tech, AI, or energy).

---

### 💡 Quick Example

A very popular ETF is:

* Vanguard S&P 500 ETF (VOO)

Buying **one share of VOO** gives you exposure to the **entire S&P 500**.

---

✅ **In one sentence:**
An **ETF is a fund that holds many investments and trades on the stock market like a single stock.**

---

If you'd like, I can also show you:

* **The 3 ETFs most beginners buy first**
* **How people build a simple ETF portfolio that grows over time**
* **Why ETFs are often recommended for passive income investors** 📊
>",SUPPORTED,,"Correct general knowledge."

prompt_id,model_name,model_response,label,issues,notes
2,ChatGPT,"<The chemical symbol for **gold** is **Au** 🟡

**Why Au?**
It comes from the Latin word for gold, ***Aurum***, which means “shining dawn” or “glow of sunrise.”

**Quick facts about gold:**

* **Symbol:** Au
* **Atomic number:** 79
* **Element type:** Transition metal
* **Periodic table group:** Group 11 (same group as copper and silver)

Gold’s symbol being **Au** instead of **G** is similar to other elements whose symbols come from Latin, like:

* **Silver — Ag** (from *Argentum*)
* **Iron — Fe** (from *Ferrum*)
* **Copper — Cu** (from *Cuprum*)

If you'd like, I can also show you a **simple trick to memorize the most common periodic table symbols used in tech, chemistry, and finance**.
>",SUPPORTED,,"Correct common knowledge."

prompt_id,model_name,model_response,label,issues,notes
5,ChatGPT,"<Photosynthesis is the process by which plants, algae, and some bacteria use sunlight to convert carbon dioxide and water into glucose and oxygen.
>",SUPPORTED,,"Correct common knowledge."

prompt_id,model_name,model_response,label,issues,notes
13,ChatGPT,"<The **square root of 144 is 12**.

This is because:

[
12 \times 12 = 144
]

So, ( \sqrt{144} = 12 ).
>",SUPPORTED,,"Correct math knowledge."

prompt_id,model_name,model_response,label,issues,notes
24,ChatGPT,"<No — **Iceland is *not* part of the European Union (EU).** 🇮🇸

However, its relationship with Europe is a little unique.

### 🇮🇸 Iceland’s Relationship with the EU

* **Not an EU member**
* **Part of the European Economic Area (EEA)**
* **Part of the Schengen Area**

This means Iceland participates in many European systems even though it isn’t officially in the EU.

### What Iceland *does* participate in

**1. European Economic Area (EEA)**
Through the European Economic Area agreement, Iceland gets access to the **EU single market**.
That means:

* Free movement of **goods**
* Free movement of **services**
* Free movement of **capital**
* Free movement of **people**

But Iceland **does not vote on EU laws**.

**2. Schengen Area**
Iceland is part of the Schengen Area, meaning:

* No passport checks between most European countries
* Shared border policies

### What Iceland does *not* do

Because it is not an EU member, Iceland:

* Does **not use the euro**
* Keeps its own currency: the **Icelandic króna**
* Is not in EU agricultural or fisheries policies (important for Iceland)

### Interesting history

Iceland **applied to join the EU in 2009** after the financial crisis but **withdrew its application in 2015**.

---

✅ **Short answer:**

* EU member: ❌ No
* In EU single market: ✔️ Yes (via EEA)
* In Schengen: ✔️ Yes

---

If you're curious, I can also show you **the 5 European countries that are *not* in the EU but are tightly integrated with it** — the list surprises most people. 🌍
>",SUPPORTED,,"Correct general knowledge."
